id,region,town,city,price,price_per_meter,area,room_count,oldness,floor_count,has_parking,has_storeroom,has_elevator,has_loan,lat,lon,updated_at
cQEG2nKIrv0=,1,zafaraniyeh,tehran,31000,198,156,3,17,2,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:35.722293+03:30
6lJY6eStsVQ=,1,zafaraniyeh,tehran,20000,170,117,2,6,3,True,True,True,False,35.805961,51.415521,2023-12-02T15:42:35.759806+03:30
G5tGOHeLNTE=,2,sattarkhan,tehran,11000,85,128,3,25,2,True,True,False,False,35.720145,51.357105,2023-12-02T15:42:35.990354+03:30
ZmMnlgtaEHE=,2,aseman,tehran,8400,133,63,2,14,4,True,True,True,True,35.781474,51.357922,2023-12-02T15:42:36.053908+03:30
CSDoKqORgDQ=,2,sattarkhan,tehran,8550,92,92,2,26,1,True,True,False,False,35.720145,51.357105,2023-12-02T15:42:36.270898+03:30
DpaXvfjQORk=,2,sattarkhan,tehran,5800,96,60,1,20,1,True,True,True,False,35.720145,51.357105,2023-12-02T15:42:36.655220+03:30
JmzyMrC7dBQ=,2,aseman,tehran,17000,147,115,3,9,4,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:36.794302+03:30
szNBcpd2yy0=,2,sattarkhan,tehran,10800,120,90,2,4,2,True,True,True,False,35.715577,51.363831,2023-12-02T15:42:37.608774+03:30
QtQn28F0IRQ=,2,aseman,tehran,15000,125,120,2,14,5,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:38.037831+03:30
M498UjdcEdw=,2,aseman,tehran,15650,132,118,2,8,1,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:37.997126+03:30
TOSAGJi6zg4=,2,aseman,tehran,23000,175,131,2,2,3,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:38.054287+03:30
_NJg92hqiHE=,2,aseman,tehran,7700,118,65,2,17,4,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:38.106557+03:30
VXxgcxRZ2UY=,2,aseman,tehran,8300,127,65,2,15,4,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:38.154708+03:30
FryTtELvXHg=,2,aseman,tehran,20520,180,114,2,1,6,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:38.516094+03:30
KuclSfChl3U=,2,aseman,tehran,19000,168,113,3,4,4,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:38.591418+03:30
ZyGk7jCdfG0=,2,aseman,tehran,16000,152,105,3,13,4,True,True,True,False,35.742476,51.357503,2023-12-02T15:42:38.691506+03:30
2ivOx9CgSVk=,2,aseman,tehran,16300,159,102,2,9,3,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:38.735989+03:30
5Z3oMjkWe3s=,2,aseman,tehran,13400,119,112,3,18,3,True,True,False,False,35.786326,51.381104,2023-12-02T15:42:38.791767+03:30
z7yobeLlJl0=,2,aseman,tehran,14500,161,90,2,14,3,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:38.920016+03:30
0EeNN52kVM0=,2,aseman,tehran,21000,165,127,2,10,2,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:39.004016+03:30
D1h1HNt9JZk=,1,kamranieh,tehran,120000,342,350,4,3,5,True,True,True,False,35.809907,51.463202,2023-12-02T15:42:39.087513+03:30
VrAJ6zkSHc4=,2,aseman,tehran,16000,140,114,2,9,4,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:39.167208+03:30
8ledXjFVyj0=,1,kamranieh,tehran,18800,170,110,2,7,4,True,True,True,False,35.809907,51.463202,2023-12-02T15:42:39.755260+03:30
3ExJ64QZi2s=,1,kamranieh,tehran,27000,180,150,3,7,4,True,True,True,False,35.809907,51.463202,2023-12-02T15:42:39.747250+03:30
~RdauHHP~Wc=,2,aseman,tehran,27200,200,136,3,17,3,True,True,True,False,35.781474,51.357922,2023-12-02T15:42:40.137316+03:30
k4bycX39f1Y=,2,aseman,tehran,7700,118,65,2,15,4,True,True,True,False,35.786326,51.381104,2023-12-02T15:42:40.094414+03:30
ucrD~iE3K64=,2,aseman,tehran,17500,130,134,3,12,1,True,True,True,True,35.781474,51.357922,2023-12-02T15:42:40.173809+03:30
myWU37EnGF0=,1,kamranieh,tehran,22000,183,120,2,2,4,True,True,True,False,35.809907,51.463202,2023-12-02T15:42:40.293628+03:30
D1dMRqdUMtw=,1,kamranieh,tehran,13050,150,87,2,4,4,True,True,True,False,35.809907,51.463202,2023-12-02T15:42:40.337682+03:30
foOOiAeJ_CU=,2,aseman,tehran,7800,130,60,1,21,1,False,True,False,False,35.781474,51.357922,2023-12-02T15:42:40.527096+03:30
ZNCfayUwdJw=,1,kamranieh,tehran,14000,140,100,2,2,4,True,True,True,False,35.809907,51.463202,2023-12-02T15:42:40.803908+03:30
QPXc86R~H_E=,1,kamranieh,tehran,32000,210,152,3,6,4,True,True,True,False,35.809907,51.463202,2023-12-02T15:42:40.887256+03:30
